time,timeDate,close,high,low,open,volumefrom,volumeto
1.49196E+12,2017-04-12,0.003097,0.00325,0.002769,0.0028,43974551.61,135521.8
1.49204E+12,2017-04-13,0.003132,0.003178,0.002851,0.003097,17187186.1,52248.29
1.49213E+12,2017-04-14,0.003223,0.003283,0.002881,0.003132,21221993.06,66801
1.49221E+12,2017-04-15,0.003369,0.0034,0.002914,0.003223,21857365.73,72541.69
1.4923E+12,2017-04-16,0.003623,0.003989,0.003369,0.003369,35644306.85,130999.31
1.49239E+12,2017-04-17,0.003531,0.003799,0.003321,0.003623,24591092.22,89757.93
1.49247E+12,2017-04-18,0.0037,0.003701,0.003,0.003531,20080148.17,72487.97
1.49256E+12,2017-04-19,0.003534,0.0037,0.0035,0.0037,25657906.21,94774.7
1.49265E+12,2017-04-20,0.003455,0.003613,0.003243,0.003534,16308227.07,58220.31
1.49273E+12,2017-04-21,0.003453,0.003476,0.003375,0.003455,26824657.47,96389.66
1.49282E+12,2017-04-22,0.003499,0.003644,0.003433,0.003453,12467755.21,46598.76
1.49291E+12,2017-04-23,0.003502,0.00357,0.0033,0.003499,10868733.8,40929.21
1.49299E+12,2017-04-24,0.004,0.004,0.003468,0.003502,24246993.22,98324.24
1.49308E+12,2017-04-25,0.00377,0.004,0.003744,0.004,12957820.98,53401.57
1.49316E+12,2017-04-26,0.004026,0.00409,0.00377,0.00377,26058076.22,109289.41
1.49325E+12,2017-04-27,0.004033,0.004089,0.003863,0.004026,12928579.53,54305.39
1.49334E+12,2017-04-28,0.004535,0.004655,0.00281,0.004033,34731006.64,159418.51
1.49342E+12,2017-04-29,0.004661,0.00515,0.00435,0.004535,46792424.86,244497.37
1.49351E+12,2017-04-30,0.004805,0.0055,0.004661,0.004661,53902946.23,290960.11
1.4936E+12,2017-05-01,0.005,0.005922,0.004607,0.004805,73240989.23,400948.01
1.49368E+12,2017-05-02,0.005054,0.005461,0.0045,0.005,44154202.45,228178.02
1.49377E+12,2017-05-03,0.005145,0.005299,0.00465,0.005054,30746602.76,162551.63
1.49386E+12,2017-05-04,0.006769,0.007293,0.0048,0.005145,94671308.87,616240.76
1.49394E+12,2017-05-05,0.01065,0.015,0.0055,0.006769,317618917.1,3479023.48
1.49403E+12,2017-05-06,0.0209,0.025,0.01065,0.01065,421359405.3,7240282.41
1.49412E+12,2017-05-07,0.039,0.052,0.0155,0.0209,559918475.6,19379483.29
1.4942E+12,2017-05-08,0.04068,0.06,0.03,0.039,379668350.3,16917280.7
1.49429E+12,2017-05-09,0.0275,0.04211,0.01916,0.04068,220969831.3,6842953.23
1.49437E+12,2017-05-10,0.0322,0.038,0.02601,0.0275,114310138.2,3794060.8
1.49446E+12,2017-05-11,0.03681,0.044,0.02699,0.0322,217218411.9,7916771.26
1.49455E+12,2017-05-12,0.04099,0.0489,0.0311,0.03681,160634041,6627141
1.49463E+12,2017-05-13,0.03736,0.04145,0.03559,0.04099,78546397.99,3075712.27
1.49472E+12,2017-05-14,0.03835,0.0409,0.03651,0.03736,63754913.17,2512911.27
1.49481E+12,2017-05-15,0.04353,0.04353,0.03767,0.03835,81702127.02,3372115.88
1.49489E+12,2017-05-16,0.05,0.0525,0.04353,0.04353,154267523.3,7533180.79
1.49498E+12,2017-05-17,0.04898,0.0585,0.04,0.05,103486408.2,5107651.35
1.49507E+12,2017-05-18,0.046,0.051,0.04301,0.04898,64993947.65,3017076.92
1.49515E+12,2017-05-19,0.0525,0.055,0.0437,0.046,91815538.31,4603069.27
1.49524E+12,2017-05-20,0.0533,0.0549,0.049,0.0525,38120619.48,2009467.34
1.49532E+12,2017-05-21,0.06,0.067,0.05189,0.0533,78538048.75,4685190.16
1.49541E+12,2017-05-22,0.05,0.066,0.0445,0.06,68008687.66,3734705.11
1.4955E+12,2017-05-23,0.05417,0.057,0.04989,0.05,36955532.41,1993220.61
1.49558E+12,2017-05-24,0.05076,0.05796,0.04754,0.05417,54248011.95,2895157.24
1.49567E+12,2017-05-25,0.04,0.051,0.039,0.05076,60208839.15,2618507.52
1.49576E+12,2017-05-26,0.04091,0.05198,0.03,0.04,61327460.54,2688826.52
1.49584E+12,2017-05-27,0.03206,0.04166,0.02084,0.03946,121420181.5,3647213.8
1.49593E+12,2017-05-28,0.03449,0.04114,0.028,0.03337,75591319.92,2675677.18
1.49602E+12,2017-05-29,0.03611,0.03832,0.03234,0.03449,50401676.36,1804446.18
1.4961E+12,2017-05-30,0.03069,0.03751,0.03015,0.03611,43689677.48,1516664.54
1.49619E+12,2017-05-31,0.03337,0.03468,0.02781,0.03069,72861219.71,2276056.12
1.49628E+12,2017-06-01,0.04128,0.04328,0.03289,0.03337,114204911.7,4471808.74
1.49636E+12,2017-06-02,0.03933,0.0422,0.0367,0.04128,37864316.09,1495847.62
1.49645E+12,2017-06-03,0.0392,0.04009,0.03568,0.03933,28272212.61,1072478.59
1.49653E+12,2017-06-04,0.0398,0.04079,0.03711,0.0392,4442044.69,171383.94
1.49662E+12,2017-06-05,0.04064,0.04357,0.0394,0.0398,20803003.57,852676.46
1.49671E+12,2017-06-06,0.04453,0.0454,0.03786,0.04064,67560804.61,2796922.56
1.49679E+12,2017-06-07,0.0466,0.05408,0.04389,0.04453,76343361.98,3671290.21
1.49688E+12,2017-06-08,0.05017,0.05642,0.04501,0.0466,67132025.29,3480153.69
1.49697E+12,2017-06-09,0.04739,0.0521,0.04612,0.05017,49808922.81,2446610.18
1.49705E+12,2017-06-10,0.0419,0.04785,0.04015,0.04739,47515594.55,2099809.68
1.49714E+12,2017-06-11,0.04516,0.04667,0.04022,0.0419,39700038.78,1755092.42
1.49723E+12,2017-06-12,0.03852,0.04738,0.03429,0.04516,61710436.03,2467224.62
1.49731E+12,2017-06-13,0.04106,0.043,0.03746,0.03852,25725090.99,1039481.74
1.4974E+12,2017-06-14,0.03824,0.04374,0.035,0.04106,30636090.32,1231002.17
1.49748E+12,2017-06-15,0.03599,0.03872,0.02963,0.03824,45178202.31,1546474.81
1.49757E+12,2017-06-16,0.03656,0.03768,0.03367,0.03599,23791568.66,862516.16
1.49766E+12,2017-06-17,0.03988,0.04077,0.03514,0.03656,26722250.89,1025264.58
1.49774E+12,2017-06-18,0.03809,0.04021,0.03666,0.03988,17957655.9,688465.57
1.49783E+12,2017-06-19,0.04148,0.04222,0.03772,0.03809,17692395.67,698950.35
1.49792E+12,2017-06-20,0.04061,0.04465,0.03927,0.04148,37423473.2,1581903.38
1.498E+12,2017-06-21,0.03836,0.04218,0.037,0.04061,18122830.19,719287.91
1.49809E+12,2017-06-22,0.03923,0.03968,0.03719,0.03836,15802712.94,606478.09
1.49818E+12,2017-06-23,0.03988,0.04026,0.03895,0.03923,8826623.09,350984.02
1.49826E+12,2017-06-24,0.03639,0.04004,0.0355,0.03988,15484516.47,586334.19
1.49835E+12,2017-06-25,0.03182,0.03703,0.02893,0.03639,39830815.32,1330667.9
1.49844E+12,2017-06-26,0.02899,0.03408,0.02377,0.03182,72557951,2046535.94
1.49852E+12,2017-06-27,0.029,0.03099,0.02294,0.02899,50935050.28,1395481.59
1.49861E+12,2017-06-28,0.03149,0.03339,0.02715,0.029,47079524.56,1429954.97
1.49869E+12,2017-06-29,0.02834,0.03254,0.02784,0.03149,33344158.12,997387.1
1.49878E+12,2017-06-30,0.02637,0.02905,0.02635,0.02834,24431623.68,682322.61
